NO,X1_1,X1_2,X1_3,X1_4,X1_5,X2_1,X2_2,X2_3,X2_4,Z_1,Z_2,Z_3,Z_4,Z_5,Y_1,Y_2,Y_3,Y_4,Y_5
23.0,3.0,2.0,2.0,5.0,2.0,4.0,5.0,2.0,3.0,2.0,4.0,5.0,3.0,4.0,4.0,3.0,4.0,5.0,4.0
24.0,5.0,3.0,2.0,3.0,5.0,5.0,2.0,5.0,2.0,5.0,2.0,5.0,2.0,4.0,2.0,5.0,2.0,5.0,5.0
25.0,5.0,4.0,2.0,3.0,2.0,2.0,2.0,3.0,4.0,3.0,4.0,4.0,3.0,5.0,4.0,5.0,3.0,2.0,2.0
26.0,3.0,3.0,5.0,3.0,5.0,3.0,4.0,2.0,2.0,3.0,4.0,5.0,4.0,3.0,3.0,4.0,5.0,5.0,5.0
27.0,3.0,2.0,2.0,3.0,2.0,3.0,5.0,4.0,2.0,3.0,4.0,3.0,2.0,3.0,3.0,5.0,3.0,2.0,4.0
28.0,3.0,5.0,4.0,4.0,5.0,2.0,2.0,5.0,5.0,2.0,4.0,5.0,3.0,4.0,5.0,4.0,3.0,2.0,2.0
29.0,5.0,4.0,2.0,5.0,5.0,4.0,4.0,2.0,3.0,3.0,5.0,4.0,5.0,3.0,2.0,2.0,5.0,2.0,4.0
30.0,5.0,2.0,3.0,2.0,3.0,3.0,5.0,5.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0
31.0,2.0,5.0,3.0,2.0,5.0,3.0,3.0,4.0,2.0,2.0,5.0,3.0,3.0,5.0,5.0,4.0,3.0,5.0,3.0
32.0,2.0,5.0,5.0,5.0,3.0,3.0,4.0,4.0,5.0,4.0,5.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,4.0
33.0,5.0,3.0,3.0,2.0,5.0,2.0,5.0,5.0,5.0,2.0,4.0,4.0,4.0,4.0,3.0,3.0,2.0,5.0,4.0
34.0,3.0,2.0,4.0,5.0,4.0,5.0,5.0,2.0,3.0,3.0,3.0,4.0,2.0,4.0,3.0,5.0,5.0,3.0,5.0
35.0,3.0,5.0,2.0,2.0,4.0,3.0,4.0,3.0,5.0,2.0,3.0,4.0,3.0,5.0,2.0,3.0,2.0,2.0,4.0
36.0,2.0,4.0,5.0,3.0,4.0,5.0,3.0,4.0,4.0,4.0,5.0,2.0,2.0,5.0,2.0,5.0,2.0,4.0,4.0
37.0,5.0,4.0,2.0,2.0,5.0,4.0,4.0,2.0,5.0,2.0,5.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0
38.0,2.0,3.0,2.0,5.0,3.0,3.0,5.0,2.0,4.0,3.0,4.0,2.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0
39.0,2.0,5.0,4.0,5.0,3.0,3.0,2.0,3.0,3.0,4.0,5.0,2.0,3.0,2.0,3.0,2.0,2.0,5.0,3.0
40.0,4.0,2.0,3.0,5.0,5.0,4.0,2.0,4.0,3.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,3.0
41.0,4.0,4.0,3.0,5.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,2.0,4.0,4.0,2.0,3.0,3.0
42.0,4.0,5.0,2.0,5.0,4.0,5.0,5.0,2.0,3.0,4.0,3.0,3.0,4.0,2.0,2.0,4.0,2.0,5.0,3.0
43.0,3.0,5.0,5.0,4.0,3.0,2.0,2.0,2.0,3.0,4.0,2.0,3.0,2.0,4.0,3.0,3.0,5.0,4.0,2.0
44.0,5.0,3.0,3.0,4.0,4.0,5.0,5.0,3.0,4.0,5.0,3.0,2.0,2.0,4.0,3.0,2.0,5.0,2.0,5.0
45.0,5.0,4.0,5.0,2.0,2.0,2.0,4.0,3.0,4.0,2.0,5.0,5.0,4.0,5.0,2.0,2.0,5.0,2.0,2.0
46.0,5.0,4.0,3.0,5.0,3.0,2.0,2.0,4.0,3.0,2.0,3.0,5.0,3.0,4.0,4.0,3.0,4.0,2.0,4.0
47.0,5.0,2.0,5.0,2.0,4.0,5.0,5.0,5.0,5.0,3.0,4.0,4.0,4.0,4.0,2.0,4.0,3.0,3.0,2.0
48.0,4.0,4.0,4.0,5.0,3.0,5.0,2.0,4.0,2.0,5.0,3.0,4.0,4.0,4.0,4.0,5.0,2.0,5.0,2.0
49.0,3.0,2.0,5.0,5.0,2.0,5.0,4.0,2.0,3.0,2.0,2.0,4.0,5.0,2.0,3.0,3.0,2.0,4.0,4.0
50.0,3.0,4.0,4.0,4.0,3.0,5.0,5.0,4.0,5.0,5.0,3.0,3.0,4.0,5.0,4.0,5.0,2.0,5.0,4.0
51.0,4.0,3.0,4.0,4.0,3.0,4.0,2.0,5.0,2.0,2.0,4.0,3.0,2.0,3.0,5.0,4.0,4.0,5.0,4.0
52.0,3.0,4.0,5.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,2.0,3.0,2.0,5.0,5.0,2.0
53.0,4.0,2.0,4.0,4.0,3.0,2.0,2.0,5.0,3.0,2.0,5.0,4.0,2.0,4.0,5.0,4.0,3.0,2.0,2.0
54.0,5.0,2.0,2.0,3.0,2.0,5.0,2.0,5.0,4.0,5.0,3.0,4.0,2.0,2.0,2.0,3.0,4.0,4.0,4.0
55.0,4.0,3.0,4.0,3.0,5.0,5.0,3.0,5.0,2.0,4.0,4.0,5.0,2.0,4.0,2.0,2.0,5.0,4.0,5.0
56.0,5.0,4.0,3.0,3.0,3.0,5.0,3.0,3.0,2.0,4.0,2.0,3.0,3.0,4.0,2.0,3.0,4.0,5.0,5.0
57.0,5.0,4.0,5.0,3.0,3.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,2.0,4.0,3.0,3.0,2.0,3.0
58.0,2.0,3.0,2.0,3.0,4.0,5.0,3.0,5.0,4.0,5.0,2.0,5.0,2.0,5.0,3.0,4.0,5.0,2.0,4.0
59.0,4.0,4.0,5.0,2.0,3.0,5.0,4.0,5.0,4.0,3.0,3.0,4.0,2.0,4.0,2.0,3.0,4.0,4.0,3.0
60.0,2.0,4.0,3.0,4.0,4.0,5.0,3.0,2.0,4.0,3.0,3.0,4.0,3.0,5.0,2.0,4.0,3.0,2.0,5.0
61.0,4.0,2.0,3.0,3.0,5.0,3.0,2.0,5.0,4.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0
62.0,4.0,4.0,3.0,5.0,2.0,4.0,4.0,3.0,2.0,5.0,5.0,2.0,4.0,4.0,2.0,4.0,3.0,2.0,4.0
63.0,2.0,4.0,4.0,4.0,2.0,5.0,4.0,5.0,2.0,4.0,4.0,5.0,4.0,5.0,5.0,2.0,2.0,3.0,4.0
64.0,2.0,3.0,4.0,4.0,5.0,2.0,2.0,5.0,3.0,3.0,5.0,3.0,5.0,5.0,3.0,4.0,4.0,5.0,4.0
65.0,4.0,3.0,5.0,3.0,2.0,2.0,4.0,3.0,3.0,5.0,2.0,4.0,2.0,3.0,3.0,5.0,5.0,4.0,2.0
66.0,3.0,5.0,5.0,2.0,5.0,2.0,4.0,5.0,4.0,3.0,5.0,4.0,3.0,5.0,3.0,5.0,5.0,4.0,3.0
67.0,5.0,2.0,2.0,3.0,5.0,4.0,3.0,3.0,4.0,2.0,2.0,5.0,4.0,5.0,5.0,3.0,4.0,3.0,5.0
68.0,2.0,4.0,2.0,2.0,5.0,4.0,4.0,5.0,4.0,3.0,5.0,2.0,3.0,3.0,3.0,4.0,5.0,5.0,5.0
69.0,5.0,4.0,5.0,5.0,2.0,2.0,5.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,5.0,4.0,5.0,4.0,5.0
70.0,3.0,5.0,4.0,4.0,4.0,5.0,2.0,5.0,5.0,4.0,2.0,2.0,4.0,5.0,3.0,2.0,2.0,2.0,2.0
71.0,3.0,4.0,3.0,5.0,5.0,4.0,3.0,5.0,5.0,5.0,3.0,2.0,3.0,5.0,4.0,3.0,4.0,4.0,2.0
72.0,3.0,2.0,5.0,2.0,3.0,2.0,3.0,2.0,3.0,4.0,3.0,2.0,4.0,5.0,2.0,4.0,3.0,2.0,4.0
73.0,2.0,5.0,2.0,2.0,2.0,2.0,5.0,2.0,3.0,4.0,5.0,2.0,3.0,2.0,4.0,3.0,2.0,3.0,5.0
74.0,3.0,2.0,4.0,5.0,5.0,5.0,2.0,5.0,3.0,4.0,3.0,4.0,4.0,3.0,2.0,5.0,4.0,2.0,2.0
75.0,2.0,5.0,5.0,2.0,5.0,3.0,2.0,5.0,3.0,4.0,2.0,4.0,2.0,2.0,5.0,4.0,2.0,4.0,4.0
76.0,3.0,5.0,5.0,5.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,2.0,5.0,3.0,4.0,4.0,3.0,4.0,5.0
77.0,5.0,3.0,4.0,4.0,4.0,5.0,4.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0
78.0,5.0,2.0,5.0,5.0,4.0,2.0,3.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,2.0,4.0,4.0,3.0,4.0
79.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,4.0,4.0,5.0,3.0,5.0,5.0,2.0,3.0,3.0,3.0,2.0
80.0,5.0,4.0,3.0,5.0,5.0,5.0,5.0,2.0,4.0,5.0,2.0,3.0,4.0,3.0,4.0,4.0,2.0,5.0,2.0
81.0,4.0,2.0,4.0,2.0,5.0,4.0,3.0,2.0,4.0,2.0,4.0,3.0,4.0,4.0,5.0,2.0,3.0,4.0,4.0
82.0,5.0,4.0,4.0,5.0,5.0,3.0,2.0,2.0,3.0,3.0,4.0,2.0,3.0,3.0,4.0,3.0,2.0,2.0,4.0
83.0,2.0,4.0,4.0,2.0,2.0,3.0,3.0,5.0,5.0,3.0,2.0,4.0,5.0,4.0,5.0,4.0,2.0,3.0,2.0
84.0,5.0,2.0,5.0,5.0,3.0,2.0,4.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,5.0,5.0,3.0,4.0,3.0
85.0,4.0,5.0,5.0,5.0,5.0,4.0,3.0,5.0,3.0,4.0,3.0,2.0,4.0,4.0,2.0,4.0,4.0,4.0,5.0
86.0,4.0,2.0,4.0,3.0,3.0,3.0,3.0,5.0,2.0,4.0,5.0,3.0,5.0,2.0,4.0,5.0,5.0,3.0,3.0
87.0,3.0,5.0,5.0,2.0,3.0,4.0,2.0,2.0,5.0,4.0,3.0,3.0,3.0,4.0,4.0,5.0,3.0,5.0,4.0
88.0,2.0,4.0,2.0,3.0,4.0,4.0,2.0,2.0,4.0,5.0,2.0,2.0,2.0,5.0,5.0,2.0,2.0,3.0,3.0
89.0,5.0,4.0,2.0,2.0,2.0,2.0,2.0,3.0,5.0,2.0,4.0,4.0,5.0,2.0,4.0,3.0,2.0,3.0,2.0
90.0,3.0,4.0,5.0,3.0,5.0,3.0,3.0,4.0,3.0,4.0,3.0,4.0,2.0,4.0,3.0,4.0,3.0,2.0,4.0
91.0,5.0,3.0,5.0,4.0,4.0,5.0,4.0,2.0,4.0,2.0,5.0,5.0,2.0,5.0,3.0,2.0,4.0,2.0,5.0
92.0,5.0,5.0,4.0,5.0,4.0,2.0,5.0,3.0,3.0,5.0,3.0,2.0,2.0,2.0,4.0,4.0,4.0,5.0,2.0
93.0,3.0,3.0,3.0,2.0,5.0,3.0,5.0,3.0,4.0,3.0,2.0,5.0,4.0,5.0,4.0,5.0,2.0,4.0,2.0
94.0,3.0,3.0,5.0,2.0,3.0,3.0,2.0,4.0,2.0,4.0,5.0,5.0,4.0,3.0,5.0,3.0,2.0,3.0,5.0
95.0,3.0,2.0,2.0,5.0,4.0,3.0,2.0,5.0,2.0,2.0,3.0,5.0,3.0,3.0,3.0,4.0,4.0,5.0,5.0
96.0,3.0,3.0,4.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,5.0,4.0,3.0,2.0,3.0,4.0,5.0,2.0,3.0
97.0,3.0,2.0,5.0,2.0,2.0,3.0,5.0,4.0,5.0,4.0,2.0,2.0,5.0,4.0,2.0,5.0,3.0,3.0,4.0
98.0,5.0,2.0,2.0,3.0,3.0,4.0,2.0,2.0,3.0,3.0,4.0,5.0,3.0,2.0,5.0,4.0,2.0,4.0,5.0
99.0,3.0,3.0,2.0,2.0,2.0,2.0,4.0,3.0,5.0,3.0,2.0,2.0,2.0,5.0,2.0,4.0,2.0,2.0,5.0
100.0,2.0,5.0,3.0,4.0,3.0,4.0,4.0,3.0,2.0,3.0,2.0,2.0,2.0,4.0,3.0,5.0,4.0,2.0,4.0
101.0,4.0,5.0,4.0,4.0,4.0,5.0,2.0,5.0,3.0,5.0,2.0,4.0,4.0,3.0,5.0,2.0,3.0,2.0,5.0
102.0,3.0,5.0,4.0,5.0,4.0,3.0,2.0,3.0,2.0,2.0,2.0,5.0,2.0,4.0,4.0,5.0,4.0,5.0,5.0
103.0,3.0,5.0,3.0,2.0,2.0,2.0,5.0,3.0,5.0,2.0,4.0,5.0,5.0,3.0,5.0,2.0,3.0,4.0,3.0
104.0,5.0,5.0,3.0,5.0,5.0,3.0,5.0,4.0,5.0,2.0,4.0,2.0,2.0,4.0,4.0,3.0,3.0,3.0,2.0
105.0,3.0,3.0,4.0,4.0,2.0,2.0,3.0,2.0,5.0,5.0,5.0,3.0,2.0,4.0,4.0,2.0,3.0,5.0,2.0
106.0,3.0,3.0,4.0,2.0,2.0,4.0,5.0,2.0,2.0,2.0,3.0,4.0,5.0,4.0,5.0,2.0,2.0,5.0,2.0
107.0,3.0,4.0,5.0,2.0,3.0,2.0,4.0,4.0,3.0,5.0,4.0,4.0,3.0,5.0,4.0,3.0,5.0,5.0,2.0
108.0,5.0,5.0,5.0,5.0,3.0,5.0,4.0,5.0,3.0,3.0,4.0,4.0,3.0,5.0,2.0,2.0,4.0,2.0,5.0
109.0,3.0,3.0,3.0,4.0,2.0,5.0,2.0,2.0,2.0,4.0,3.0,4.0,5.0,2.0,3.0,5.0,5.0,4.0,4.0
110.0,4.0,4.0,5.0,2.0,4.0,2.0,5.0,3.0,3.0,2.0,4.0,5.0,4.0,2.0,4.0,2.0,4.0,5.0,4.0
111.0,5.0,5.0,2.0,5.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,5.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0
112.0,4.0,2.0,5.0,4.0,5.0,2.0,4.0,3.0,3.0,3.0,2.0,3.0,5.0,5.0,4.0,5.0,2.0,4.0,3.0
113.0,5.0,4.0,5.0,5.0,3.0,2.0,4.0,5.0,4.0,4.0,3.0,4.0,2.0,3.0,3.0,3.0,5.0,3.0,5.0
114.0,3.0,3.0,2.0,3.0,3.0,5.0,3.0,4.0,4.0,5.0,5.0,4.0,4.0,2.0,2.0,3.0,2.0,4.0,4.0
115.0,4.0,2.0,3.0,2.0,5.0,3.0,3.0,2.0,5.0,4.0,5.0,2.0,2.0,3.0,3.0,4.0,4.0,3.0,4.0
116.0,5.0,2.0,2.0,3.0,2.0,2.0,4.0,4.0,4.0,3.0,3.0,5.0,5.0,2.0,3.0,4.0,2.0,2.0,2.0
117.0,2.0,2.0,5.0,4.0,5.0,2.0,4.0,2.0,4.0,3.0,3.0,4.0,2.0,5.0,2.0,3.0,2.0,5.0,5.0
118.0,3.0,4.0,3.0,3.0,2.0,5.0,3.0,3.0,4.0,4.0,2.0,3.0,3.0,4.0,2.0,3.0,5.0,3.0,5.0
119.0,5.0,3.0,5.0,3.0,2.0,5.0,4.0,4.0,2.0,5.0,5.0,3.0,4.0,5.0,2.0,3.0,3.0,4.0,2.0
120.0,2.0,2.0,2.0,4.0,2.0,4.0,2.0,2.0,4.0,5.0,4.0,5.0,4.0,3.0,5.0,4.0,2.0,5.0,5.0
121.0,5.0,5.0,2.0,5.0,5.0,2.0,2.0,3.0,4.0,2.0,2.0,3.0,4.0,3.0,2.0,4.0,3.0,5.0,5.0
122.0,2.0,2.0,5.0,3.0,2.0,4.0,3.0,4.0,5.0,5.0,3.0,3.0,5.0,5.0,2.0,2.0,4.0,4.0,3.0
123.0,3.0,2.0,4.0,5.0,4.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,4.0,5.0,2.0,2.0,2.0,3.0,4.0
124.0,4.0,4.0,4.0,3.0,5.0,5.0,3.0,2.0,4.0,3.0,4.0,4.0,3.0,2.0,2.0,3.0,5.0,2.0,5.0
125.0,2.0,4.0,2.0,5.0,4.0,3.0,3.0,2.0,3.0,2.0,4.0,4.0,5.0,3.0,4.0,5.0,4.0,2.0,3.0
126.0,5.0,3.0,2.0,4.0,2.0,2.0,5.0,2.0,5.0,2.0,2.0,3.0,3.0,3.0,5.0,5.0,4.0,3.0,4.0
127.0,3.0,5.0,4.0,3.0,3.0,4.0,5.0,3.0,5.0,3.0,5.0,3.0,2.0,5.0,3.0,4.0,5.0,5.0,2.0
128.0,2.0,4.0,4.0,4.0,2.0,5.0,5.0,2.0,5.0,5.0,5.0,4.0,2.0,4.0,2.0,4.0,2.0,5.0,3.0
129.0,5.0,2.0,5.0,3.0,4.0,5.0,2.0,4.0,5.0,3.0,3.0,5.0,2.0,3.0,4.0,4.0,2.0,5.0,3.0
130.0,5.0,3.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,3.0,2.0,4.0,4.0,3.0,4.0,5.0,4.0
131.0,5.0,2.0,4.0,4.0,5.0,3.0,2.0,2.0,5.0,3.0,5.0,2.0,3.0,5.0,4.0,5.0,2.0,3.0,2.0
132.0,2.0,2.0,5.0,3.0,3.0,5.0,4.0,2.0,2.0,4.0,2.0,5.0,5.0,5.0,3.0,2.0,3.0,5.0,3.0
133.0,4.0,3.0,4.0,3.0,5.0,5.0,3.0,5.0,2.0,4.0,4.0,5.0,2.0,4.0,2.0,2.0,5.0,4.0,5.0
134.0,2.0,5.0,5.0,5.0,3.0,3.0,4.0,4.0,5.0,4.0,5.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,4.0
135.0,2.0,4.0,4.0,2.0,2.0,3.0,3.0,5.0,5.0,3.0,2.0,4.0,5.0,4.0,5.0,4.0,2.0,3.0,2.0
